seed,mu,E,client,measured_delta,grad_norm_at_w0,exact_solve_iters
0,0.1,5,9,0.7904203656496914,4.2139813295610296,3000
0,0.1,5,10,0.7374483924225325,3.439528000400227,3000
0,0.1,5,11,0.7625971036717649,1.8127084768747979,3000
0,0.1,5,12,0.4961607582611698,3.6932133803977036,3000
0,0.1,5,13,0.13157211150889442,2.938452666868414,3000
0,0.1,5,14,0.15972556056805817,2.9427433115271953,3000
0,0.1,5,15,2.312186241924541,3.037461162199718,3000
0,0.1,5,16,1.7599862791569372,2.369561562452599,3000
0,0.1,5,17,0.5742278772900523,2.1950998244769973,3000
0,0.1,5,18,1.284137965909754,5.149973210214156,3000
0,0.1,5,19,0.12956389481949226,2.351274470087229,3000
0,0.1,10,0,1.2268031393123529,6.159385642685968,3000
0,0.1,10,1,0.4986786322055134,3.1789750284436193,3000
0,0.1,10,2,0.10782203748089948,2.0367976708378954,3000
0,0.1,10,3,0.3266266617240709,2.70339122003791,3000
0,0.1,10,4,0.3187779050479335,1.8863118917032797,3000
0,0.1,10,5,0.22542773621468065,3.7242765707844425,3000
0,0.1,10,6,0.7932916465443224,5.110804209579576,3000
0,0.1,10,7,0.7076202098823691,1.0714384012209426,3000
0,0.1,10,8,0.09276284803003267,3.1958123443426714,3000
0,0.1,10,9,0.4105642718451229,4.2139813295610296,3000
0,0.1,10,10,0.4392806583559683,3.439528000400227,3000
0,0.1,10,11,0.4877971806353793,1.8127084768747979,3000
0,0.1,10,12,0.2096128563091069,3.6932133803977036,3000
0,0.1,10,13,0.051627743921465935,2.938452666868414,3000
0,0.1,10,14,0.08750861814718154,2.9427433115271953,3000
0,0.1,10,15,1.3561864277989293,3.037461162199718,3000
0,0.1,10,16,0.8575557615674414,2.369561562452599,3000
0,0.1,10,17,0.37843708631547435,2.1950998244769973,3000
0,0.1,10,18,0.8100476663577801,5.149973210214156,3000
0,0.1,10,19,0.0791286759182574,2.351274470087229,3000
0,0.1,20,0,0.44976322723885537,6.159385642685968,3000
0,0.1,20,1,0.24739130782371932,3.1789750284436193,3000
0,0.1,20,2,0.03953511991212652,2.0367976708378954,3000
0,0.1,20,3,0.12895595904687626,2.70339122003791,3000
0,0.1,20,4,0.12165091045815939,1.8863118917032797,3000
0,0.1,20,5,0.048478656382597296,3.7242765707844425,3000
0,0.1,20,6,0.18161437341060413,5.110804209579576,3000
0,0.1,20,7,0.28294414994563,1.0714384012209426,3000
0,0.1,20,8,0.036993328061587484,3.1958123443426714,3000
0,0.1,20,9,0.04190015501244489,4.2139813295610296,3000
0,0.1,20,10,0.18243993584474558,3.439528000400227,3000
0,0.1,20,11,0.21507759329013582,1.8127084768747979,3000
0,0.1,20,12,0.04542672817717758,3.6932133803977036,3000
0,0.1,20,13,0.023643298886396897,2.938452666868414,3000
0,0.1,20,14,0.0435877502331274,2.9427433115271953,3000
0,0.1,20,15,1.8344319513072964,3.037461162199718,3000
0,0.1,20,16,0.41228850272728457,2.369561562452599,3000
0,0.1,20,17,0.14939408961819922,2.1950998244769973,3000
0,0.1,20,18,0.18665864384089248,5.149973210214156,3000
0,0.1,20,19,0.03774745426366251,2.351274470087229,3000
0,0.1,50,0,0.007615644456362291,6.159385642685968,3000
0,0.1,50,1,0.03182053997731522,3.1789750284436193,3000
0,0.1,50,2,0.0039990754538040425,2.0367976708378954,3000
0,0.1,50,3,0.014196683478129806,2.70339122003791,3000
0,0.1,50,4,0.012114675916893204,1.8863118917032797,3000
0,0.1,50,5,0.007007945875775887,3.7242765707844425,3000
0,0.1,50,6,0.009829191724361506,5.110804209579576,3000
0,0.1,50,7,0.02814277284900267,1.0714384012209426,3000
0,0.1,50,8,0.006874112546294562,3.1958123443426714,3000
0,0.1,50,9,0.0037824299084798585,4.2139813295610296,3000
0,0.1,50,10,0.022083417616566903,3.439528000400227,3000
0,0.1,50,11,0.02454994370147811,1.8127084768747979,3000
0,0.1,50,12,0.00809305169824444,3.6932133803977036,3000
0,0.1,50,13,0.004147852731715374,2.938452666868414,3000
0,0.1,50,14,0.006784426044328004,2.9427433115271953,3000
0,0.1,50,15,1.4775380181190292,3.037461162199718,3000
0,0.1,50,16,0.06789797536149941,2.369561562452599,3000
0,0.1,50,17,0.022742560548160026,2.1950998244769973,3000
0,0.1,50,18,0.005009916607899953,5.149973210214156,3000
0,0.1,50,19,0.005318235582738163,2.351274470087229,3000
0,0.5,1,0,2.533773306945631,6.159385642685968,3000
0,0.5,1,1,0.902746260288828,3.1789750284436193,3000
0,0.5,1,2,0.14359129025902578,2.0367976708378954,3000
0,0.5,1,3,0.691891557720526,2.70339122003791,3000
0,0.5,1,4,0.4194634217301817,1.8863118917032797,3000
0,0.5,1,5,1.1301861517398955,3.7242765707844425,3000
0,0.5,1,6,1.9418166399806156,5.110804209579576,3000
0,0.5,1,7,0.47825334365387845,1.0714384012209426,3000
0,0.5,1,8,0.803253911771927,3.1958123443426714,3000
0,0.5,1,9,1.4231123885095391,4.2139813295610296,3000
0,0.5,1,10,1.0513915500115554,3.439528000400227,3000
0,0.5,1,11,0.28351021404029636,1.8127084768747979,3000
0,0.5,1,12,1.1092511353734413,3.6932133803977036,3000
0,0.5,1,13,0.6429078813134386,2.938452666868414,3000
0,0.5,1,14,0.6463423910873044,2.9427433115271953,3000
0,0.5,1,15,1.5490689998142524,3.037461162199718,3000
0,0.5,1,16,1.2401123692451477,2.369561562452599,3000
0,0.5,1,17,1.0173581619278096,2.1950998244769973,3000
0,0.5,1,18,1.9647396750584147,5.149973210214156,3000
0,0.5,1,19,0.2786790407127334,2.351274470087229,3000
0,0.5,2,0,1.7638685010546336,6.159385642685968,3000
0,0.5,2,1,0.30789807583512496,3.1789750284436193,3000
0,0.5,2,2,0.08565234287561699,2.0367976708378954,3000
