d,N,seed,eps_p,conversion,sigma,T_priv,T_needed,T_acc_calibrated,capped_at_Tmax,round_used,measured_gap_cumavg,V_ind_theory,gap_over_theory_ratio,theorem2_predicted_feasible,empirically_feasible,degenerate_zero_rounds,frac_updates_clipped
10,1000,0,16.0,pathA,3.52845575287547,94.78272713442857,189.56545426885714,0.018021596001236217,True,149,0.476105027657396,0.25,1.904420110629584,True,True,False,0.883
10,1000,1,2.0,basic,3.52845575287547,1.9931298461323859,3.9862596922647717,0.018021596001236217,False,4,0.2530074025825999,0.25,1.0120296103303996,True,True,False,0.879
10,1000,1,2.0,pathA,3.52845575287547,2.6955809031577616,5.391161806315523,0.018021596001236217,False,5,0.2930379166780111,0.25,1.1721516667120444,True,True,False,0.879
10,1000,1,4.0,basic,3.52845575287547,7.41153459090544,14.82306918181088,0.018021596001236217,False,15,0.5097648018970071,0.25,2.0390592075880285,True,False,False,0.879
10,1000,1,4.0,pathA,3.52845575287547,9.291283310278573,18.582566620557145,0.018021596001236217,False,19,0.5316463394178748,0.25,2.126585357671499,True,False,False,0.879
10,1000,1,8.0,basic,3.52845575287547,26.123491410460588,52.246982820921176,0.018021596001236217,False,52,0.5113908839197115,0.25,2.045563535678846,True,False,False,0.879
10,1000,1,8.0,pathA,3.52845575287547,30.61983197958625,61.2396639591725,0.018021596001236217,False,61,0.5207875775652273,0.25,2.0831503102609092,True,False,False,0.879
10,1000,1,16.0,basic,3.52845575287547,85.42363565185921,170.84727130371843,0.018021596001236217,True,149,0.5325550618140895,0.25,2.130220247256358,True,False,False,0.879
10,1000,1,16.0,pathA,3.52845575287547,94.78272713442857,189.56545426885714,0.018021596001236217,True,149,0.5325550618140895,0.25,2.130220247256358,True,False,False,0.879
10,2000,0,2.0,basic,4.994997497496871,3.99426422979944,7.98852845959888,0.018021596001236217,False,8,0.5556308027152317,0.25,2.2225232108609267,True,False,False,0.868
10,2000,0,2.0,pathA,4.994997497496871,5.4019884186124045,10.803976837224809,0.018021596001236217,False,11,0.5267076901055506,0.25,2.1068307604222025,True,False,False,0.868
10,2000,0,4.0,basic,4.994997497496871,14.852834380971142,29.705668761942285,0.018021596001236217,False,30,0.49792345613555267,0.25,1.9916938245422107,True,True,False,0.868
10,2000,0,4.0,pathA,4.994997497496871,18.619879423607358,37.239758847214716,0.018021596001236217,False,37,0.5178134688691645,0.25,2.071253875476658,True,False,False,0.868
10,2000,0,8.0,basic,4.994997497496871,52.351896441043515,104.70379288208703,0.018021596001236217,False,105,0.5369568361159298,0.25,2.1478273444637193,True,False,False,0.868
10,2000,0,8.0,pathA,4.994997497496871,61.36266253095664,122.72532506191328,0.018021596001236217,False,123,0.5410204640168259,0.25,2.1640818560673036,True,False,False,0.868
10,2000,0,16.0,basic,4.994997497496871,171.19033811356528,342.38067622713055,0.018021596001236217,True,149,0.5331633534546857,0.25,2.1326534138187427,True,False,False,0.868
10,2000,0,16.0,pathA,4.994997497496871,189.94624911128085,379.8924982225617,0.018021596001236217,True,149,0.5331633534546857,0.25,2.1326534138187427,True,False,False,0.868
10,2000,1,2.0,basic,4.994997497496871,3.99426422979944,7.98852845959888,0.018021596001236217,False,8,0.3836189185419748,0.25,1.534475674167899,True,True,False,0.8805
10,2000,1,2.0,pathA,4.994997497496871,5.4019884186124045,10.803976837224809,0.018021596001236217,False,11,0.4165582535799783,0.25,1.666233014319913,True,True,False,0.8805
10,2000,1,4.0,basic,4.994997497496871,14.852834380971142,29.705668761942285,0.018021596001236217,False,30,0.555017332526383,0.25,2.220069330105532,True,False,False,0.8805
10,2000,1,4.0,pathA,4.994997497496871,18.619879423607358,37.239758847214716,0.018021596001236217,False,37,0.5357475534918481,0.25,2.1429902139673924,True,False,False,0.8805
10,2000,1,8.0,basic,4.994997497496871,52.351896441043515,104.70379288208703,0.018021596001236217,False,105,0.5218870047413943,0.25,2.087548018965577,True,False,False,0.8805
10,2000,1,8.0,pathA,4.994997497496871,61.36266253095664,122.72532506191328,0.018021596001236217,False,123,0.5219847529999379,0.25,2.0879390119997514,True,False,False,0.8805
10,2000,1,16.0,basic,4.994997497496871,171.19033811356528,342.38067622713055,0.018021596001236217,True,149,0.5550023153999135,0.25,2.220009261599654,True,False,False,0.8805
