d,eps_acc,eps_p,LD,N_star_basic,N_star_pathA,tightening_ratio
1000,0.5,4,1,53758.04986893958,49722.416136929794,1.0811632669035254
1000,0.5,4,10,537544.4986933696,429958.480073197,1.2502242044437801
1000,0.5,4,50,2687706.493467832,2145895.589099003,1.2524870767809906
1000,0.5,8,1,15254.64141484124,15090.443184378817,1.0108809415638897
1000,0.5,8,10,152510.41414847595,130468.41016095068,1.168945141282349
1000,0.5,8,50,762536.0707379666,651148.4662681964,1.1710632985256724
1000,0.5,16,1,4667.814610091093,4878.472148458601,0.9568189523365287
1000,0.5,16,10,46642.14610100165,42157.41720590412,1.106380542080966
1000,0.5,16,50,233194.73050608725,210390.60515699664,1.108389466022372
1000,1.0,1,1,192125.5276863542,184512.6558755083,1.0412593476296952
1000,1.0,1,10,1921237.2768776112,1315562.6026535514,1.4603921341351491
1000,1.0,1,50,9606178.384314312,6554109.724616557,1.4656724998415118
1000,1.0,2,1,49973.656485477935,52082.24942107769,0.9595141730812723
1000,1.0,2,10,499718.5648460296,371334.072880151,1.3457385177990793
1000,1.0,2,50,2498584.824265677,1849974.0973048378,1.3506053019368094
1000,1.0,4,1,13440.512467306175,15111.565403427907,0.8894189389708977
1000,1.0,4,10,134387.12467187134,107733.17071945216,1.2474071242350113
1000,1.0,4,50,671927.6233580349,536717.4479810289,1.2519205885436113
1000,1.0,8,1,3814.66035371281,4586.812182510428,0.8316582850848259
1000,1.0,8,10,38128.603537340816,32691.701574222578,1.1663083198888993
1000,1.0,8,50,190635.01768400086,162861.71560094546,1.1705330315389
1000,1.0,16,1,1167.9536525237254,1483.3656881489426,0.7873673106064544
1000,1.0,16,10,11661.536525412655,10564.134355956578,1.1038799898296738
1000,1.0,16,50,58299.68262670537,52622.43134327053,1.1078865255465027
5000,0.1,1,1,96061783.8439478,65778050.131958894,1.4603926940861882
5000,0.1,1,10,960617658.4392607,655114601.3483491,1.4663352892182968
5000,0.1,1,50,4803088212.189461,3274388162.309551,1.466865861377186
5000,0.1,2,1,24985848.24234282,18566623.643690836,1.3457400075448458
5000,0.1,2,10,249858302.42728636,184913626.39214215,1.351216280283301
5000,0.1,2,50,1249291432.120723,924233638.61246,1.351705218170016
5000,0.1,4,1,6719276.233636636,5386578.5360083105,1.2474107986580871
5000,0.1,4,10,67192582.33538672,53647309.72713801,1.2524874532785137
5000,0.1,4,50,335962831.678175,268139448.3552593,1.252940713270418
5000,0.1,8,1,1906350.1768559779,1634505.0787316174,1.1663164597416322
5000,0.1,8,10,19063321.768660996,16278631.6566633,1.1710641392182275
5000,0.1,8,50,95316528.8424295,81363638.66893022,1.1714880307931383
5000,0.1,16,1,582996.8262719375,528126.7177979349,1.103895725447839
5000,0.1,16,10,5829788.262686573,5259685.128910924,1.1083911146395364
5000,0.1,16,50,29148861.31348765,26288833.622984968,1.1087924908164084
5000,0.5,1,1,3842474.5537398835,3035689.4500941043,1.2657666790062367
5000,0.5,1,10,38424709.53766075,26251977.831554253,1.4636881755810094
5000,0.5,1,50,192123531.6894993,131022920.27079307,1.4663352892182975
5000,0.5,2,1,999437.1297089994,856861.0452114602,1.1663934721905271
5000,0.5,2,10,9994335.29704476,7409924.789883336,1.3487768878153639
5000,0.5,2,50,49971660.48483919,36982725.27874549,1.3512162802550043
5000,0.5,4,1,268774.24934266985,248596.0806808869,1.0811684906958967
5000,0.5,4,10,2687706.493467832,2149776.4003602234,1.2502260667748848
5000,0.5,4,50,13438516.467192551,10729461.945519589,1.252487453278513
5000,0.5,8,1,76257.20707437725,75436.2159220459,1.010883249408742
5000,0.5,8,10,762536.0707379666,652326.0508143598,1.1689492850791736
5000,0.5,8,50,3812664.3536850414,3255726.3313605716,1.1710641391937033
5000,0.5,16,1,23323.073050732197,24376.360742599616,0.9567906094355293
5000,0.5,16,10,233194.73050608725,210771.08602708546,1.106388617630979
5000,0.5,16,50,1165957.6525228934,1051937.0257912031,1.108391114616325
5000,1.0,1,1,960619.6384475296,922555.279384974,1.0412597054215889
5000,1.0,1,10,9606178.384314312,6577805.013278543,1.4603926940556042
5000,1.0,1,50,48030883.92157472,32770540.622869417,1.4656726135319122
5000,1.0,2,1,249860.28242441986,260403.24710540377,0.9595129292811144
5000,1.0,2,10,2498584.824265677,1856662.3643924128,1.3457400075448458
5000,1.0,2,50,12492916.12124127,9249862.486622471,1.3506056051437558
5000,1.0,4,1,67194.56233637877,75549.8270169949,0.8894072294998556
5000,1.0,4,10,671927.6233580349,538657.8536075995,1.2474107986319634
5000,1.0,4,50,3359630.116808888,2683579.239911289,1.2519213395464883
5000,1.0,8,1,19065.30176847878,22926.060912793015,0.8315995425904201
5000,1.0,8,10,190635.01768400086,163450.50787179248,1.1663164597416327
5000,1.0,8,50,953167.0884205634,814300.578007372,1.1705347069174428
5000,1.0,16,1,5831.768262718295,7408.828440780382,0.7871377113577793
5000,1.0,16,10,58299.68262670537,52812.67177935107,1.1038957254478392
5000,1.0,16,50,291490.41313538165,263104.1567162414,1.1078898059742741
20000,0.1,1,1,384247075.3753325,263112140.53213653,1.4603927990483605
20000,0.1,1,10,3842470573.7772627,2620458345.391531,1.466335299904623
20000,0.1,1,50,,,
20000,0.1,2,1,99943332.97055347,74266434.57613038,1.3457402868600317
20000,0.1,2,10,999433149.6948009,739654445.5708143,1.3512163087501048
20000,0.1,2,50,4997165668.478493,3696934494.4192104,1.3517052238880822
20000,0.1,4,1,26877044.934367258,21546254.144248664,1.2474114876038227
20000,0.1,4,10,268770269.3446026,214589178.90873343,1.2524875238882052
20000,0.1,4,50,1343851266.7296946,1072557733.4181119,1.252940727439448
20000,0.1,8,1,7625340.707482635,6537960.314862096,1.1663179860772028
